"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL413";"SIROLIMUS";"AY-22989|FYARRO|HYFTOR|L04AA10|NPC-12G|NSC-226080|RAPALIMUS|RAPAMYCIN|Rapamune|SIROLIMUS|SM-88 COMPONENT SIROLIMUS|WY-090217";"AY-22989|L04AA10|NSC-226080|SM-88 COMPONENT SIROLIMUS|WY-090217";"4.0";"Novitium Pharma Llc|Aadi Bioscience Inc|Glenmark Pharmaceuticals Ltd|Dr Reddys Laboratories Ltd|Torrent Pharma Inc|Apotex Inc|Nobelpharma Co Ltd|Amneal Pharmaceuticals Llc|Pf Prism Cv|Msn Laboratories Private Ltd";"'-imus'";"1993";"immunosuppressives";"'-imus(-imus)'";"1999";"L04AA10 | S01XA23 | L01EG04";"L04AA - Selective immunosuppressants | S01XA - Other ophthalmologicals | L01EG - Mammalian target of rapamycin (mTOR) kinase inhibitors";"L04A - IMMUNOSUPPRESSANTS | S01X - OTHER OPHTHALMOLOGICALS | L01E - PROTEIN KINASE INHIBITORS";"L04 - IMMUNOSUPPRESSANTS | S01 - OPHTHALMOLOGICALS | L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS | S - SENSORY ORGANS | L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Immunosuppressant";"US-8911786-B2";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"1";"0";"0";"1";"Prescription Only";"CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C";"InChI=1S/C51H79NO13/c1-30-16-12-11-13-17-31(2)42(61-8)28-38-21-19-36(7)51(60,65-38)48(57)49(58)52-23-15-14-18-39(52)50(59)64-43(33(4)26-37-20-22-40(53)44(27-37)62-9)29-41(54)32(3)25-35(6)46(56)47(63-10)45(55)34(5)24-30/h11-13,16-17,25,30,32-34,36-40,42-44,46-47,53,56,60H,14-15,18-24,26-29H2,1-10H3/b13-11+,16-12+,31-17+,35-25+/t30-,32-,33-,34-,36-,37+,38+,39+,40-,42+,43+,44-,46-,47+,51-/m1/s1";"False";"0"
"CHEMBL2105735";"ASUNAPREVIR";"ASUNAPREVIR|BMS 650032|BMS-650032|BMS650032|SUNVEPRA";"BMS 650032|BMS-650032|BMS650032";"4.0";"";"'-vir'";"2011";"antivirals: serine protease inhibitors";"'-vir(-vir (-previr))'";"2014";"J05AP06";"J05AP - Antivirals for treatment of HCV infections";"J05A - DIRECT ACTING ANTIVIRALS";"J05 - ANTIVIRALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Unknown";"C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1";"InChI=1S/C35H46ClN5O9S/c1-9-19-16-35(19,31(44)40-51(46,47)22-11-12-22)39-28(42)25-15-21(49-29-24-14-20(36)10-13-23(24)26(48-8)17-37-29)18-41(25)30(43)27(33(2,3)4)38-32(45)50-34(5,6)7/h9-10,13-14,17,19,21-22,25,27H,1,11-12,15-16,18H2,2-8H3,(H,38,45)(H,39,42)(H,40,44)/t19-,21-,25+,27-,35-/m1/s1";"False";"0"
"CHEMBL490";"PAROXETINE";"(-)3S,4R-PAROXETINE|ARKETIS|AROTIN|BESITRAM|BRL 29060|BRL-29060|CASBOL|DAPAROX|FG-7051|FROSINOR|MOTIVAN|PAROGEN|PAROXETINA|PAROXETINE|PAXPAR|Paroxetine|Paxil|Pexeva|XETANOR";"BRL 29060|BRL-29060";"4.0";"Sciecure Pharma Inc|Cadila Pharmaceuticals Ltd|Prinston Pharmaceutical Inc|Aurobindo Pharma Ltd|Novitium Pharma Llc|Roxane Laboratories Inc|Epic Pharma Llc|Cspc Ouyi Pharmaceutical Co Ltd|Apotex Inc|Sun Pharmaceutical Industries Inc";"'-oxetine'";"1989";"antidepressants (fluoxetine type)";"'-oxetine(-oxetine)'";"1992";"N06AB05";"N06AB - Selective serotonin reuptake inhibitors";"N06A - ANTIDEPRESSANTS";"N06 - PSYCHOANALEPTICS";"N - NERVOUS SYSTEM";"Antidepressant";"US-7598271-B1";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"1";"Prescription Only";"Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1";"InChI=1S/C19H20FNO3/c20-15-3-1-13(2-4-15)17-7-8-21-10-14(17)11-22-16-5-6-18-19(9-16)24-12-23-18/h1-6,9,14,17,21H,7-8,10-12H2/t14-,17-/m0/s1";"False";"0"
"CHEMBL4298110";"FERRIC MALTOL";"Accrufer|FERRIC MALTOL|Feraccru|IRON MALTOL|MALTOL FERRICO|MALTOL FERRIQUE|ST-10|ST10|ST10-021";"ST-10|ST10|ST10-021";"4.0";"Shield Tx Uk Ltd";"";"2019";"";"";"2016";"B03AB10";"B03AB - Iron trivalent, oral preparations";"B03A - IRON PREPARATIONS";"B03 - ANTIANEMIC PREPARATIONS";"B - BLOOD AND BLOOD FORMING ORGANS";"";"US-9248148-B2";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Prescription Only";"";"";"False";"0"
"CHEMBL726";"FLUPHENAZINE";"FLUFENAZINA|FLUPHENAZINE|NSC-62323|Permitil|Prolixin";"NSC-62323";"4.0";"Pharmaceutical Associates Inc|Taro Pharmaceutical Industries Ltd|Aurobindo Pharma Ltd|Lannett Holdings Inc|Novitium Pharma Llc|Amneal Eu Ltd|Dr Reddys Laboratories Inc|Apotex Inc|Lannett Co Inc|Zydus Worldwide Dmcc";"";"";"";"";"";"N05AB02";"N05AB - Phenothiazines with piperazine structure";"N05A - ANTIPSYCHOTICS";"N05 - PSYCHOLEPTICS";"N - NERVOUS SYSTEM";"Antipsychotic";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1";"InChI=1S/C22H26F3N3OS/c23-22(24,25)17-6-7-21-19(16-17)28(18-4-1-2-5-20(18)30-21)9-3-8-26-10-12-27(13-11-26)14-15-29/h1-2,4-7,16,29H,3,8-15H2";"False";"0"
"CHEMBL398435";"TICAGRELOR";"AR-C126532XX|AZD-6140|AZD6140|BRILINTA|Brilique|POSSIA|TICAGRELOR";"AR-C126532XX|AZD-6140|AZD6140";"4.0";"Mylan Pharmaceuticals Inc|Amneal Eu Ltd|Watson Laboratories Inc|Astrazeneca Pharmaceuticals Lp|Hisun Pharmaceutical Hangzhou Co Ltd|Sigmapharm Laboratories Llc|Alkem Laboratories Ltd|Sunshine Lake Pharma Co Ltd";"'-grel-'";"2007";"platelet aggregation inhibitors, primarily platelet P2Y12 receptor antagonists";"'-grel-(-grel-)'";"2010";"B01AC24";"B01AC - Platelet aggregation inhibitors excl. heparin";"B01A - ANTITHROMBOTIC AGENTS";"B01 - ANTITHROMBOTIC AGENTS";"B - BLOOD AND BLOOD FORMING ORGANS";"";"US-8425934-B2";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"1";"0";"0";"1";"Prescription Only";"CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1";"InChI=1S/C23H28F2N6O4S/c1-2-7-36-23-27-21(26-15-9-12(15)11-3-4-13(24)14(25)8-11)18-22(28-23)31(30-29-18)16-10-17(35-6-5-32)20(34)19(16)33/h3-4,8,12,15-17,19-20,32-34H,2,5-7,9-10H2,1H3,(H,26,27,28)/t12-,15+,16+,17-,19-,20+/m0/s1";"False";"0"
"CHEMBL450449";"TRABECTEDIN";"ECTEINASCIDIN 743|ECTEINASCIDINS TRABECTEDIN|ET-743|ET743|NSC-648766|TRABECTEDIN|TRABECTEDINA|TRABECTEDINE|Yondelis";"ET-743|NSC-648766";"4.0";"Janssen Products Lp";"'-ectedin'";"2004";"ecteinascidin derivatives";"'-ectedin(-ectedin)'";"2007";"L01CX01";"L01CX - Other plant alkaloids and natural products";"L01C - PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"";"US-8895557-B2";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"1";"0";"0";"Prescription Only";"COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H]2[C@H]2c3c(cc(C)c(OC)c3O)C[C@@H]([C@@H]1O)N2C)OCO4";"InChI=1S/C39H43N3O11S/c1-16-9-20-10-22-37(46)42-23-13-50-38(47)39(21-12-25(48-5)24(44)11-19(21)7-8-40-39)14-54-36(30(42)29(41(22)4)26(20)31(45)32(16)49-6)28-27(23)35-34(51-15-52-35)17(2)33(28)53-18(3)43/h9,11-12,22-23,29-30,36-37,40,44-46H,7-8,10,13-15H2,1-6H3/t22-,23-,29+,30+,36+,37-,39+/m0/s1";"False";"0"
"CHEMBL95";"TACRINE";"TACRINA|TACRINAL|TACRINE|Tacrine";"";"4.0";"Shionogi Inc";"'-crine'";"1988";"acridine derivatives";"'-crine(-crine)'";"1993";"N06DA01";"N06DA - Anticholinesterases";"N06D - ANTI-DEMENTIA DRUGS";"N06 - PSYCHOANALEPTICS";"N - NERVOUS SYSTEM";"Cognition Adjuvant; Dementia Symptoms Treatment Adjunct";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Discontinued";"Nc1c2c(nc3ccccc13)CCCC2";"InChI=1S/C13H14N2/c14-13-9-5-1-3-7-11(9)15-12-8-4-2-6-10(12)13/h1,3,5,7H,2,4,6,8H2,(H2,14,15)";"False";"0"
"CHEMBL1908841";"LEVOLEUCOVORIN";"(6S)-LEUCOVORIN|(S)-LEUCOVORIN|KHAPZORY|L-FOLINIC ACID|LEVOFOLENE|LEVOFOLINIC ACID|LEVOLEUCOVORIN|LFP-754";"LFP-754";"4.0";"Acrotech Biopharma Inc|Meitheal Pharmaceuticals Inc|Amneal Eu Ltd|Hainan Poly Pharmaceutical Co Ltd|Actavis Llc|Hikma Pharmaceuticals Usa Inc|Novast Laboratories Ltd|Gland Pharma Ltd|Mylan Teoranta|Ailex Pharmaceuticals Llc";"";"1991";"";"";"2008";"";"";"";"";"";"Antidote (to folic acid antagonists)";"US-11541012-B1";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"1";"0";"0";"Prescription Only";"Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O";"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)27(9-28)12(8-23-16)7-22-11-3-1-10(2-4-11)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,12-13,22H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,23,25,26,32)/t12-,13-/m0/s1";"False";"0"
"CHEMBL1200986";"HALOPERIDOL DECANOATE";"HALDOL|HALOMONTH|HALOPERIDOL DECANOATE|Haldol Dec|R-13,672|R-13672";"R-13,672|R-13672";"4.0";"Meitheal Pharmaceuticals Inc|Teva Pharmaceuticals Usa|Mankind Pharma Ltd|Mylan Laboratories Ltd|Janssen Pharmaceuticals Inc|Hikma Pharmaceuticals Usa Inc|Fresenius Kabi Usa Llc|Gland Pharma Ltd|Somerset Therapeutics Llc|Zydus Pharmaceuticals Usa Inc";"";"1980";"";"";"1986";"";"";"";"";"";"Antipsychotic";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"1";"0";"1";"0";"1";"Prescription Only";"CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1";"InChI=1S/C31H41ClFNO3/c1-2-3-4-5-6-7-8-11-30(36)37-31(26-14-16-27(32)17-15-26)20-23-34(24-21-31)22-9-10-29(35)25-12-18-28(33)19-13-25/h12-19H,2-11,20-24H2,1H3";"False";"0"
"CHEMBL1625607";"MEBHYDROLIN";"BEXIDAL|FABAHISTIN|INCIDAL|MEBHIDROLINA|MEBHYDROLIN|MEBHYDROLIN NAPADISILATE|MEBHYDROLIN NAPADISYLATE|MEBHYDROLINE|NSC-757830|OMERIL";"NSC-757830";"4.0";"";"";"";"";"";"";"R06AX15";"R06AX - Other antihistamines for systemic use";"R06A - ANTIHISTAMINES FOR SYSTEMIC USE";"R06 - ANTIHISTAMINES FOR SYSTEMIC USE";"R - RESPIRATORY SYSTEM";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CN1CCc2c(c3ccccc3n2Cc2ccccc2)C1";"InChI=1S/C19H20N2/c1-20-12-11-19-17(14-20)16-9-5-6-10-18(16)21(19)13-15-7-3-2-4-8-15/h2-10H,11-14H2,1H3";"False";"0"
"CHEMBL1399";"ANASTROZOLE";"ANASTROZOL|ANASTROZOLE|ARIMIDEX|Arimidex|ICI D1033|ICI-D1033|NASTROSA|NSC-719344|NSC-759855|RVG-106400|ZD-1033|ZD1033";"ICI D1033|ICI-D1033|NSC-719344|NSC-759855|ZD-1033|ZD1033";"4.0";"Anda Repository Llc|Watson Laboratories Inc An Indirect Wholly Owned Sub Of Teva Pharmaceuticals Usa Inc|Impax Laboratories Inc|Chartwell Molecular Holdings Llc|Eugia Pharma Specialities Ltd|Apotex Inc|Hikma Pharmaceuticals Usa Inc|Cipla Ltd|Synthon Pharmaceuticals Inc|Kenton Chemicals And Pharmaceuticals Corp";"'-rozole'";"1995";"aromatase inhibitors (imidazole/triazole derivatives)";"'-rozole(-rozole)'";"1995";"L02BG03";"L02BG - Aromatase inhibitors";"L02B - HORMONE ANTAGONISTS AND RELATED AGENTS";"L02 - ENDOCRINE THERAPY";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Antineoplastic";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Prescription Only";"CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1";"InChI=1S/C17H19N5/c1-16(2,9-18)14-5-13(8-22-12-20-11-21-22)6-15(7-14)17(3,4)10-19/h5-7,11-12H,8H2,1-4H3";"False";"0"
"CHEMBL1909079";"STANNOUS FLUORIDE";"OMNIGEL|STANNOUS FLUORIDE|TIN FLUORIDE (SNF2)";"";"4.0";"";"";"";"";"";"";"A01AA04";"A01AA - Caries prophylactic agents";"A01A - STOMATOLOGICAL PREPARATIONS";"A01 - STOMATOLOGICAL PREPARATIONS";"A - ALIMENTARY TRACT AND METABOLISM";"";"None";"9:Inorganic";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"";"";"False";"0"
"CHEMBL416146";"ETORICOXIB";"ARCOXIA|ETORICOXIB|L-791456|MK-0663";"L-791456|MK-0663";"4.0";"";"'-coxib'";"2000";"cyclooxygenase-2 inhibitors";"'-coxib(-coxib)'";"2002";"M01AH05";"M01AH - Coxibs";"M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS";"M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS";"M - MUSCULO-SKELETAL SYSTEM";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Unknown";"Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1";"InChI=1S/C18H15ClN2O2S/c1-12-3-4-14(10-20-12)18-17(9-15(19)11-21-18)13-5-7-16(8-6-13)24(2,22)23/h3-11H,1-2H3";"False";"0"
"CHEMBL631";"PROPAFENONE";"GNF-Pf-4594|PROPAFENON HEXAL|PROPAFENONA|PROPAFENONE|Propafenone|Rythmol";"GNF-Pf-4594";"4.0";"Mylan Pharmaceuticals Inc|Glenmark Pharmaceuticals Ltd|Scinopharm Taiwan Ltd|Strides Pharma Global Pte Ltd|Rising Pharma Holdings Inc|Sun Pharmaceutical Industries Inc|Glaxosmithkline Llc|Watson Laboratories|Watson Laboratories Inc|Upsher Smith Laboratories Llc";"'-afenone'";"1988";"antiarrhythmics (propafenone derivatives)";"'-afenone(-afenone)'";"1989";"C01BC03";"C01BC - Antiarrhythmics, class Ic";"C01B - ANTIARRHYTHMICS, CLASS I AND III";"C01 - CARDIAC THERAPY";"C - CARDIOVASCULAR SYSTEM";"Cardiac Depressant (anti-arrhythmic)";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"1";"Prescription Only";"CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1";"InChI=1S/C21H27NO3/c1-2-14-22-15-18(23)16-25-21-11-7-6-10-19(21)20(24)13-12-17-8-4-3-5-9-17/h3-11,18,22-23H,2,12-16H2,1H3";"False";"0"
"CHEMBL511142";"BUPRENORPHINE";"ALKS-5461 COMPONENT BUPRENORPHINE|BRIXADI|BUPEAZE|BUPLAST|BUPRENORFINA|BUPRENORPHIN|BUPRENORPHINE|BUTEC|BUTRANS|HAPOCTASIN|PANITAZ|PRENOTRIX|RELETRANS|SEVODYNE|SUBLOCADE|SUBOXONE|TEMGESIC|TEPHINE|TRANSTEC";"ALKS-5461 COMPONENT BUPRENORPHINE";"4.0";"Rhodes Pharmaceuticals Lp|Sun Pharmaceutical Industries Ltd|Wes Pharma Inc|Watson Laboratories Inc An Indirect Wholly Owned Sub Of Teva Pharmaceuticals Usa Inc|Alkem Laboratories Ltd|Aveva Drug Delivery Systems Inc|Mylan Technologies Inc|Lannett Co Inc|Alvogen Inc|Amneal Pharmaceuticals Llc";"";"1976";"";"";"1981";"N07BC01 | N07BC51 | N02AE01";"N07BC - Drugs used in opioid dependence | N07BC - Drugs used in opioid dependence | N02AE - Oripavine derivatives";"N07B - DRUGS USED IN ADDICTIVE DISORDERS | N07B - DRUGS USED IN ADDICTIVE DISORDERS | N02A - OPIOIDS";"N07 - OTHER NERVOUS SYSTEM DRUGS | N07 - OTHER NERVOUS SYSTEM DRUGS | N02 - ANALGESICS";"N - NERVOUS SYSTEM | N - NERVOUS SYSTEM | N - NERVOUS SYSTEM";"Analgesic";"US-7736665-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"1";"1";"1";"Prescription Only";"CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5";"InChI=1S/C29H41NO4/c1-25(2,3)26(4,32)20-15-27-10-11-29(20,33-5)24-28(27)12-13-30(16-17-6-7-17)21(27)14-18-8-9-19(31)23(34-24)22(18)28/h8-9,17,20-21,24,31-32H,6-7,10-16H2,1-5H3/t20-,21-,24-,26+,27-,28+,29+/m1/s1";"False";"0"
"CHEMBL715";"OLANZAPINE";"ARKOLAMYL|LY-170053|LY170053|OLANSEK|OLANZAPINA|OLANZAPINE|OLANZAPINE APOTEX|OLANZAPINE CIPLA|OLANZAPINE GLENMARK|OLANZAPINE MYLAN|OLANZAPINE TEVA|OLAZAX|OLAZAX DISPERZI|Olanzapine Mylan|ZALASTA|ZYPREXA|ZYPREXA VELOTAB|ZYPREXA ZYDIS";"LY-170053|LY170053";"4.0";"Cheplapharm Registration Gmbh|Cadila Pharmaceuticals Ltd|Sun Pharmaceutical Industries Ltd|Alkermes Inc|Aspiro Pharma Ltd|Jiangsu Hansoh Pharmaceutical Group Co Ltd|Aurobindo Pharma Ltd|Alkem Laboratories Ltd|Chartwell Molecular Holdings Llc|Eugia Pharma Specialities Ltd";"'-pine'";"1992";"tricyclic compounds";"'-pine(-pine)'";"1996";"N05AH03";"N05AH - Diazepines, oxazepines, thiazepines and oxepines";"N05A - ANTIPSYCHOTICS";"N05 - PSYCHOLEPTICS";"N - NERVOUS SYSTEM";"Antipsychotic";"US-7262298-B2";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"1";"0";"1";"Prescription Only";"Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1";"InChI=1S/C17H20N4S/c1-12-11-13-16(21-9-7-20(2)8-10-21)18-14-5-3-4-6-15(14)19-17(13)22-12/h3-6,11,19H,7-10H2,1-2H3";"False";"0"
"CHEMBL1650559";"PLAZOMICIN";"ACHN-490|PLAZOMICIN|PLAZOMICINA|PLAZOMICINE";"ACHN-490";"4.0";"Cipla Usa Inc";"'-micin'";"2011";"antibiotics (Micromonospora strains)";"'-micin(-micin)'";"2018";"J01GB14";"J01GB - Other aminoglycosides";"J01G - AMINOGLYCOSIDE ANTIBACTERIALS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"";"US-8383596-B2";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"1";"0";"1";"Prescription Only";"CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CNCCO)=CC[C@H]3N)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CCN)OC[C@]1(C)O";"InChI=1S/C25H48N6O10/c1-25(37)11-38-24(18(35)21(25)29-2)41-20-15(31-22(36)16(33)5-6-26)9-14(28)19(17(20)34)40-23-13(27)4-3-12(39-23)10-30-7-8-32/h3,13-21,23-24,29-30,32-35,37H,4-11,26-28H2,1-2H3,(H,31,36)/t13-,14+,15-,16+,17+,18-,19-,20+,21-,23-,24-,25+/m1/s1";"False";"0"
"CHEMBL1201197";"ALATROFLOXACIN";"ALATROFLOXACIN|ALATROFLOXACINE|ALATROFLOXACINO|Alatrofloxacin";"";"4.0";"Pfizer Chemicals Div Pfizer Inc";"'-oxacin'";"1996";"antibacterials (quinolone derivatives)";"'-oxacin(-oxacin)'";"1997";"";"";"";"";"";"Antibacterial";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"1";"0";"1";"0";"0";"Withdrawn";"C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21";"InChI=1S/C26H25F3N6O5/c1-10(30)24(37)31-11(2)25(38)32-20-14-7-34(8-15(14)20)23-18(29)6-13-21(36)16(26(39)40)9-35(22(13)33-23)19-4-3-12(27)5-17(19)28/h3-6,9-11,14-15,20H,7-8,30H2,1-2H3,(H,31,37)(H,32,38)(H,39,40)/t10-,11-,14-,15+,20+/m0/s1";"True";"0"
"CHEMBL1474889";"CLOBUTINOL";"CLOBUTINOL|CLOBUTINOL HYDROCHLORIDE|IVERSAL|KAT 256 [AS HYDROCHLORIDE]|R05DB03";"KAT 256 [AS HYDROCHLORIDE]|R05DB03";"4.0";"";"";"";"";"";"1961";"R05DB03";"R05DB - Other cough suppressants";"R05D - COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS";"R05 - COUGH AND COLD PREPARATIONS";"R - RESPIRATORY SYSTEM";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Withdrawn";"CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1";"InChI=1S/C14H22ClNO/c1-11(10-16(3)4)14(2,17)9-12-5-7-13(15)8-6-12/h5-8,11,17H,9-10H2,1-4H3";"True";"0"
"CHEMBL1200807";"NORELGESTROMIN";"DEACETYLNORGESTIMATE|NORELGESTROMIN|NORELGESTROMINA|NORELGESTROMINE|RWJ-10553";"RWJ-10553";"4.0";"Mylan Technologies Inc|Amneal Pharmaceuticals Llc|Janssen Pharmaceuticals Inc|Teva Pharmaceuticals Usa Inc|Zydus Noveltech Inc";"'-estr-; -gest-'";"2000";"estrogens; progestins";"'-estr-(-estr-); -gest-(-gest-)'";"2001";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"1";"0";"Prescription Only";"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC";"InChI=1S/C21H29NO2/c1-3-20-11-9-17-16-8-6-15(22-24)13-14(16)5-7-18(17)19(20)10-12-21(20,23)4-2/h2,13,16-19,23-24H,3,5-12H2,1H3/b22-15+/t16-,17+,18+,19-,20-,21-/m0/s1";"False";"0"
"CHEMBL512351";"BETRIXABAN";"BETRIXABAN|BETRIXABAN MALEATE|BEVYXXA|PRT-054021|PRT054021";"PRT-054021|PRT054021";"4.0";"Portola Pharmaceuticals Inc";"'-xaban'";"2007";"antithrombotics, blood coagulation factor XA inhibitors";"'-xaban(-xaban)'";"2017";"B01AF04";"B01AF - Direct factor Xa inhibitors";"B01A - ANTITHROMBOTIC AGENTS";"B01 - ANTITHROMBOTIC AGENTS";"B - BLOOD AND BLOOD FORMING ORGANS";"";"US-7598276-B2";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"1";"Prescription Only";"COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1";"InChI=1S/C23H22ClN5O3/c1-29(2)21(25)14-4-6-15(7-5-14)22(30)27-19-10-9-17(32-3)12-18(19)23(31)28-20-11-8-16(24)13-26-20/h4-13,25H,1-3H3,(H,27,30)(H,26,28,31)";"False";"0"
"CHEMBL5316164";"YTTRIUM CHLORIDE";"";"";"4.0";"";"";"";"";"";"2003";"";"";"";"";"";"";"None";"9:Inorganic";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"";"";"False";"0"
